"","year","ID_game","numberGame","ID_team","isB2B","isB2BFirst","isB2BSecond","homeAway","name","countDaysRest","countDaysNextGame","outcomeGame","isWin","fieldgoal_made","fieldgoal_attempts","fieldgoal_percent","fieldgoal3_made","fieldgoal3_attempts","fieldgoal3_percent","freethrow_percent","fieldgoal2_made","fieldgoal2_attempts","pctFG2","minutes","freethrow_made","freethrow_attempts","off_reb","def_reb","total_reb","assists","steals","blocks","turnovers","personalfouls","points","plusminus","ind_Win","ind_SecondB2B","ind_overtime","offensive_rating","defensive_rating","RAPTOR_offensive","RAPTOR_defensive","RAPTOR_net"
"175",2018,21700087,7,1610612751,FALSE,FALSE,FALSE,"H","BKN",1,1,"L",FALSE,39,96,0.406,12,31,0.387096774193548,0.677,27,65,0.415384615384615,240,21,31,17,39,56,24,5,4,15,18,111,-13,0,0,0,106.9,110.6,-1.7,-2,-3.8
"176",2018,21700090,5,1610612752,TRUE,FALSE,FALSE,"A","NYK",1,0,"W",TRUE,42,89,0.472,13,28,0.464285714285714,0.81,29,61,0.475409836065574,240,17,21,11,40,51,27,9,6,14,26,114,19,1,0,0,107.1,110.7,-1.6,-2.1,-3.6
"177",2018,21700090,7,1610612739,TRUE,FALSE,TRUE,"H","CLE",0,2,"L",FALSE,31,81,0.383,10,33,0.303030303030303,0.852,21,48,0.4375,240,23,27,7,34,41,20,5,5,15,23,95,-19,0,1,0,112.9,111.9,4.2,-3.3,1
"178",2018,21700087,6,1610612743,TRUE,FALSE,FALSE,"A","DEN",1,0,"W",TRUE,47,94,0.5,11,20,0.55,0.864,36,74,0.486486486486487,240,19,22,4,42,46,23,7,7,6,22,124,13,1,0,0,112.5,111,3.9,-2.3,1.5
"179",2018,21700085,6,1610612749,FALSE,TRUE,FALSE,"A","MIL",2,1,"W",TRUE,44,81,0.543,13,26,0.5,0.762,31,55,0.563636363636364,240,16,21,5,38,43,30,9,3,14,27,117,11,1,0,0,109.8,110.1,1.2,-1.5,-0.3
"180",2018,21700085,7,1610612737,FALSE,FALSE,FALSE,"H","ATL",1,2,"L",FALSE,36,77,0.468,13,29,0.448275862068966,0.808,23,48,0.479166666666667,240,21,26,3,28,31,27,9,2,16,21,106,-11,0,0,0,105,110.6,-3.6,-2,-5.5
"181",2018,21700089,6,1610612764,FALSE,FALSE,FALSE,"A","WAS",1,2,"W",TRUE,40,85,0.471,17,34,0.5,0.65,23,51,0.450980392156863,240,13,20,13,36,49,28,9,3,17,18,110,27,1,0,0,109.3,108.7,0.7,-0.1,0.6
"182",2018,21700089,6,1610612758,FALSE,TRUE,FALSE,"H","SAC",2,1,"L",FALSE,32,82,0.39,6,22,0.272727272727273,0.813,26,60,0.433333333333333,240,13,16,11,32,43,13,8,2,20,20,83,-27,0,0,0,103.7,111.1,-4.9,-2.5,-7.3
"183",2018,21700094,6,1610612752,TRUE,FALSE,TRUE,"H","NYK",0,1,"W",TRUE,41,82,0.5,13,32,0.40625,0.913,28,50,0.56,240,21,23,11,38,49,27,8,10,23,27,116,6,1,1,0,107.1,110.7,-1.6,-2.1,-3.6
"184",2018,21700098,7,1610612762,FALSE,FALSE,FALSE,"H","UTA",1,1,"W",TRUE,38,81,0.469,16,35,0.457142857142857,0.8,22,46,0.478260869565217,240,12,15,6,29,35,25,16,8,14,17,104,15,1,0,0,108.4,103.9,-0.2,4.7,4.5
"185",2018,21700092,7,1610612759,TRUE,TRUE,TRUE,"A","SAS",0,2,"L",FALSE,36,87,0.414,12,26,0.461538461538462,0.5,24,61,0.39344262295082,240,10,20,12,28,40,24,8,4,11,14,94,-14,0,1,0,107.9,104.8,-0.7,3.8,3
"186",2018,21700096,7,1610612766,TRUE,FALSE,TRUE,"A","CHA",0,1,"W",TRUE,37,89,0.416,7,17,0.411764705882353,0.793,30,72,0.416666666666667,240,23,29,10,46,56,15,3,7,12,22,104,5,1,1,0,109.4,109.1,0.8,-0.5,0.3
"187",2018,21700096,7,1610612763,FALSE,FALSE,FALSE,"H","MEM",1,1,"L",FALSE,32,93,0.344,8,35,0.228571428571429,0.818,24,58,0.413793103448276,240,27,33,11,37,48,17,7,8,7,22,99,-5,0,0,0,104.5,111,-4.1,-2.4,-6.5
"188",2018,21700098,8,1610612742,FALSE,FALSE,FALSE,"A","DAL",1,1,"L",FALSE,34,76,0.447,12,24,0.5,0.818,22,52,0.423076923076923,240,9,11,9,33,42,17,4,3,24,16,89,-15,0,0,0,106.3,109.5,-2.3,-0.9,-3.2
